"","x"
"1213",1470156
"1214",1472582
"1215",1475010
"1216",1477440
"1217",1479872
"1218",1482306
"1219",1484742
"1220",1487180
"1221",1489620
"1222",1492062
"1223",1494506
"1224",1496952
"1225",1499400
"1226",1501850
"1227",1504302
"1228",1506756
"1229",1509212
"1230",1511670
"1231",1514130
"1232",1516592
"1233",1519056
"1234",1521522
"1235",1523990
"1236",1526460
"1237",1528932
"1238",1531406
"1239",1533882
"1240",1536360
"1241",1538840
"1242",1541322
"1243",1543806
"1244",1546292
"1245",1548780
"1246",1551270
"1247",1553762
"1248",1556256
"1249",1558752
"1250",1561250
"1251",1563750
"1252",1566252
"1253",1568756
"1254",1571262
"1255",1573770
"1256",1576280
"1257",1578792
"1258",1581306
"1259",1583822
"1260",1586340
"1261",1588860
"1262",1591382
"1263",1593906
"1264",1596432
"1265",1598960
"1266",1601490
"1267",1604022
"1268",1606556
"1269",1609092
"1270",1611630
"1271",1614170
"1272",1616712
"1273",1619256
"1274",1621802
"1275",1624350
"1276",1626900
"1277",1629452
"1278",1632006
"1279",1634562
"1280",1637120
"1281",1639680
"1282",1642242
"1283",1644806
"1284",1647372
"1285",1649940
"1286",1652510
"1287",1655082
"1288",1657656
